,predict,y_test,시그모이드 변환값,"정답=1, 오답=0"
0,0.017727122,0,0,1
1,0.017727122,0,0,1
2,0.017727122,0,0,1
3,0.017727122,0,0,1
4,0.017727122,0,0,1
5,0.017727122,0,0,1
6,0.017727122,0,0,1
7,0.017727122,0,0,1
8,0.017727122,0,0,1
9,0.017727122,0,0,1
10,0.017727122,0,0,1
11,0.017727122,0,0,1
12,0.017727122,0,0,1
13,0.017727122,0,0,1
14,0.017727122,0,0,1
15,0.017727122,0,0,1
16,0.017727122,0,0,1
17,0.017727122,0,0,1
18,0.017727122,0,0,1
19,0.017727122,0,0,1
20,0.017727122,0,0,1
21,0.017727122,0,0,1
22,0.017727122,0,0,1
23,0.017727122,0,0,1
24,0.017727122,0,0,1
25,0.017727122,0,0,1
26,0.017727122,0,0,1
27,0.017727122,0,0,1
28,0.017727122,0,0,1
29,0.017727122,0,0,1
30,0.017727122,0,0,1
31,0.017727122,0,0,1
32,0.017727122,0,0,1
33,0.017727122,0,0,1
34,0.017727122,0,0,1
35,0.017727122,0,0,1
36,0.017727122,0,0,1
37,0.017727122,0,0,1
38,0.017727122,0,0,1
39,0.017727122,0,0,1
40,0.017727122,0,0,1
41,0.017727122,0,0,1
42,0.017727122,0,0,1
43,0.017727122,0,0,1
44,0.017727122,0,0,1
45,0.017727122,0,0,1
46,0.017727122,0,0,1
47,0.017727122,0,0,1
48,0.017727122,0,0,1
49,0.017727122,0,0,1
50,0.017727122,0,0,1
51,0.017727122,0,0,1
52,0.017727122,0,0,1
53,0.017727122,0,0,1
54,0.017727122,0,0,1
55,0.017727122,0,0,1
56,0.017727122,0,0,1
57,0.017727122,0,0,1
58,0.017727122,0,0,1
59,0.017727122,0,0,1
60,0.017727122,1,0,0
61,0.41610408,0,0,1
62,0.1778098,0,0,1
63,0.117859915,0,0,1
64,0.08732264,0,0,1
65,0.068536244,0,0,1
66,0.056092307,0,0,1
67,0.046695124,1,0,0
68,0.30943456,0,0,1
69,0.2046216,0,0,1
70,0.17449068,1,0,0
71,0.40277275,0,0,1
72,0.34172195,0,0,1
73,0.322133,0,0,1
74,0.34263864,0,0,1
75,0.13186896,0,0,1
76,0.10611412,0,0,1
77,0.09972496,0,0,1
78,0.096560456,0,0,1
79,0.09196685,0,0,1
80,0.08551819,0,0,1
81,0.13484071,0,0,1
82,0.057862096,0,0,1
83,0.072466046,0,0,1
84,0.1336981,1,0,0
85,0.41610408,0,0,1
86,0.1778098,0,0,1
87,0.117859915,0,0,1
88,0.08732264,0,0,1
89,0.068536244,1,0,0
90,0.33710173,0,0,1
91,0.22595327,0,0,1
92,0.1773042,0,0,1
93,0.13987248,0,0,1
94,0.12857875,1,0,0
95,0.35998943,1,0,0
96,0.4936839,0,0,1
97,0.43276462,1,0,0
98,0.5529337,0,1,0
99,0.4422321,0,0,1
100,0.40783224,0,0,1
101,0.36782923,0,0,1
102,0.32258302,0,0,1
103,0.3067917,1,0,0
104,0.5205997,0,1,0
105,0.34787855,1,0,0
106,0.6269808,0,1,0
107,0.41312066,0,0,1
108,0.3677659,1,0,0
109,0.5329643,0,1,0
110,0.4307341,0,0,1
111,0.4196001,0,0,1
112,0.24455681,0,0,1
113,0.21380018,0,0,1
114,0.18417546,0,0,1
115,0.15268582,0,0,1
116,0.12362522,1,0,0
117,0.44283083,0,0,1
118,0.27282053,0,0,1
119,0.29728886,0,0,1
120,0.1791017,0,0,1
121,0.17881577,0,0,1
122,0.23257683,0,0,1
123,0.046695124,0,0,1
124,0.03953865,0,0,1
125,0.033734005,0,0,1
126,0.03826062,0,0,1
127,0.04659898,0,0,1
128,0.057862096,0,0,1
129,0.072466046,0,0,1
130,0.1336981,0,0,1
131,0.017727122,0,0,1
132,0.017727122,0,0,1
133,0.017727122,0,0,1
,,,,
,,,,총 134개
,,,,118개 정답
,,,,acc = 87%
