,predict,Y_test,시그모이드 변환값,"정답=1, 오답=0"
0,0.42348686,0,0,1
1,0.23509444,0,0,1
2,0.28095767,0,0,1
3,0.32970893,0,0,1
4,0.40148672,0,0,1
5,0.4524382,0,0,1
6,0.35299492,0,0,1
7,0.30855194,0,0,1
8,0.3305494,0,0,1
9,0.4481162,0,0,1
10,0.9999943,0,1,0
11,0.36495662,0,0,1
12,0.80641097,0,1,0
13,0.31059805,0,0,1
14,0.2901054,0,0,1
15,0.99999857,0,1,0
16,0.86709785,0,1,0
17,0.31507164,0,0,1
18,0.36287174,0,0,1
19,0.46677303,0,0,1
20,0.3100852,0,0,1
21,0.33915392,0,0,1
22,0.443674,0,0,1
23,0.36151847,0,0,1
24,0.29466447,0,0,1
25,0.30797434,0,0,1
26,0.4436492,0,0,1
27,0.9999728,0,1,0
28,0.34322557,0,0,1
29,0.30385855,0,0,1
30,0.30340958,0,0,1
31,0.32870212,0,0,1
32,0.29911125,0,0,1
33,0.34137267,0,0,1
34,0.31481752,0,0,1
35,0.32363448,0,0,1
36,0.36788985,0,0,1
37,0.3444415,0,0,1
38,0.3010236,0,0,1
39,0.23639247,0,0,1
40,0.35962427,0,0,1
41,0.2988653,0,0,1
42,0.5666091,0,1,0
43,0.32117692,0,0,1
44,0.7098078,0,1,0
45,0.2907303,0,0,1
46,0.32086328,0,0,1
47,0.3675166,0,0,1
48,0.29570493,0,0,1
49,0.32148123,0,0,1
50,0.9272827,0,1,0
51,0.99973077,0,1,0
52,0.3970475,0,0,1
53,0.5110559,0,1,0
54,0.32298082,0,0,1
55,0.9999999,0,1,0
56,0.42327005,0,0,1
57,0.36576056,0,0,1
58,0.0911106,0,0,1
59,0.34795606,0,0,1
60,0.37896538,0,0,1
61,0.33437172,1,0,0
62,0.3031594,0,0,1
63,0.17170423,0,0,1
64,0.10634621,0,0,1
65,0.27073866,0,0,1
66,0.3748034,0,0,1
67,0.43317,0,0,1
68,0.3761408,1,0,0
69,0.32780084,0,0,1
70,0.3289285,0,0,1
71,0.3402144,1,0,0
72,0.31762007,0,0,1
73,0.34514436,0,0,1
74,0.3859253,0,0,1
75,0.33092675,0,0,1
76,0.35805136,0,0,1
77,0.23917195,0,0,1
78,0.46349508,0,0,1
79,0.36522338,0,0,1
80,0.3242645,0,0,1
81,0.41417265,0,0,1
82,0.991344,0,1,0
83,0.30023304,0,0,1
84,0.22435494,0,0,1
85,0.36225134,1,0,0
86,0.36295277,0,0,1
87,0.37950125,0,0,1
88,0.3808173,0,0,1
89,0.37836668,0,0,1
90,0.3931068,1,0,0
91,0.41335946,0,0,1
92,0.38660255,0,0,1
93,0.37915182,0,0,1
94,0.38715702,0,0,1
95,0.3941742,1,0,0
96,0.38792995,1,0,0
97,0.3871659,0,0,1
98,0.41038892,1,0,0
99,0.38413328,0,0,1
100,0.36084577,0,0,1
101,0.46265015,0,0,1
102,0.4624767,0,0,1
103,0.46438402,0,0,1
104,1.25E-06,1,0,0
105,0.27737933,0,0,1
106,0.002812492,1,0,0
107,2.34E-05,0,0,1
108,0.013364878,0,0,1
109,0.08827789,1,0,0
110,0.40538472,0,0,1
111,0.41453367,0,0,1
112,0.10115055,0,0,1
113,0.077047184,0,0,1
114,0.054764472,0,0,1
115,0.1382132,0,0,1
116,0.03887701,0,0,1
117,0.47690725,1,0,0
118,0.20754749,0,0,1
119,0.07401052,0,0,1
120,0.19394247,0,0,1
121,0.024192667,0,0,1
122,0.17293389,0,0,1
123,0.012672219,0,0,1
124,2.44E-05,0,0,1
125,0.039274894,0,0,1
126,0.16179353,0,0,1
127,0.10795046,0,0,1
128,0.11062588,0,0,1
129,0.31864947,0,0,1
130,0.22484323,0,0,1
131,0.1673752,0,0,1
132,0.37001628,0,0,1
133,0.09862667,0,0,1
134,0.06844159,0,0,1
135,0.031919293,0,0,1
136,0.062750034,0,0,1
